name,lat,long
300 West Adams Building,-87.6358333333333,41.8797222222222
333 North Michigan Building,-87.6241666666667,41.8877777777778
35 East Wacker Building,-87.6266666666667,41.8863888888889
42nd Precinct / Town Hall Police Stationg,-87.65,41.9475
63rd Street Bathing Pavilion,-87.5738888888889,41.7813888888889
6901 Oglesby Cooperative Apartment Building,-87.5677777777778,41.7697222222222
860-880 Lake Shore Drive,-87.6188888888889,41.8988888888889
Dr. Wallace C. Abbott House,-87.6722222222222,41.9652777777778
Adams House,-87.67,41.7241666666667
All Saints Church and Rectory (Ravenswood Illinois),-87.6727777777778,41.965
Allerton Hotel,-87.6236111111111,41.8952777777778
American Book Company Building,-87.6194444444444,41.8536111111111
American School of Correspondence,-87.6038888888889,41.7897222222222
American System-Built House,-87.6744444444444,41.7044444444444
American System-Built House,-87.6738888888889,41.7016666666667
Assumption School Building,-87.6366666666667,41.8936111111111
Auditorium Building,-87.6252777777778,41.8758333333333
Bach House,-87.6647222222222,42.0161111111111
Bachman House,-87.6616666666667,41.9747222222222
Beeson House and Coach House,-87.7705555555556,41.8891666666667
Belmont-Sheffield Trust and Savings Bank Building,-87.6544444444445,41.9397222222222
Biograph Theater,-87.6497222222222,41.9263888888889
Blackstone Hotel,-87.6247222222222,41.8733333333333
Blackstone Library,-87.5902777777778,41.8058333333333
Brewster Apartments,-87.6416666666667,41.9330555555556
Brooks Building,-87.6347222222222,41.8777777777778
Gwendolyn Brooks House,-87.6069444444444,41.7595277777778
Bryn Mawr Apartment Hotel,-87.6569444444444,41.9833333333333
Belle Shore Apartment Hotel,-87.6575,41.9838888888889
Clarence Buckingham Memorial Fountain and Garden,-87.6188888888889,41.8758333333333
Bush Temple of Music,-87.6316666666667,41.8969444444444
Cable House,-87.6269444444444,41.8938888888889
Alfred Caldwell Lily Pool,-87.6338888888889,41.9252777777778
Calumet National Bank Building,-87.5508333333333,41.7295
Calumet Park Fieldhouse,-87.5305555555556,41.7177777777778
Canaan Baptist Church of Christ Building,-87.6330555555555,41.7727777777778
Carbide and Carbon Building,-87.625,41.8866666666667
Carson Pirie Scott and Company Building,-87.6272222222222,41.8816666666667
Chapin and Gore Building,-87.6254166666667,41.8793055555556
Charnley House,-87.6275,41.9076388888889
Chess Records Office and Studio,-87.6241666666667,41.8536111111111
Chicago & Alton Railway Bridge,-87.6647222222222,41.8397222222222
Chicago & Illinois Western Railway Bridge,-87.7027777777778,41.8322222222222
Chicago & North Western Railway Powerhouse,-87.6402777777778,41.8863888888889
Chicago & Northwestern Railway Bridge,-87.6391666666667,41.8884722222222
Chicago & Western Indiana Railroad Bridge,-87.5588888888889,41.6694444444444
Chicago Bee Building,-87.62625,41.8280555555556
Chicago Board of Trade Building,-87.6322222222222,41.8777777777778
Chicago Building,-87.6280555555555,41.8818055555556
Chicago City Bank and Trust Building,-87.6455555555556,41.7794444444444
Chicago Defender Building,-87.6213888888889,41.8318055555556
Site of the Origin of the Chicago Fire of 1871,-87.6422222222222,41.8690277777778
Chicago Harbor Lighthouse,-87.5905555555556,41.8893055555556
Former Chicago Historical Society Building,-87.63,41.8933333333333
Chicago Milwaukee & St. Paul Railway Bridge No. Z-2,-87.6555555555556,41.9102777777778
Chicago Orphan Asylum Building,-87.6163888888889,41.8013888888889
Chicago Public Library/Cultural Center,-87.625,41.8838888888889
Chicago Theatre,-87.6275,41.8852777777778
Chicago Varnish Company Building,-87.6293055555555,41.8890277777778
City Hall-County Building,-87.6316666666667,41.8838888888889
Civic Opera Building,-87.6375,41.8825
Clarke House,-87.6219444444444,41.8570833333333
Colvin House,-87.6556944444444,41.9902777777778
Congress Theater,-87.6922222222222,41.92
Continental and Commercial Bank Building,-87.6327777777778,41.8791666666667
Continental Center,-87.6255555555556,41.8780555555556
Cortland Street Drawbridg,-87.6641666666667,41.9169444444444
Cosmopolitan State Bank Building,-87.6308333333333,41.8969444444444
Courthouse Place,-87.63,41.8902777777778
Crown Hall,-87.6269444444444,41.8330555555556
Daley Center,-87.6302777777778,41.8838888888889
Dearborn Street Station,-87.6291666666667,41.8719444444444
Delaware Building,-87.6291666666667,41.8847222222222
August Dewes House,-87.6418055555556,41.9302777777778
Francis J. Dewes House,-87.6415277777778,41.9302777777778
Dexter Building,-87.6263888888889,41.8736111111111
R.R. Donnelley and Sons Co. Calumet Plant,-87.6183333333333,41.8533333333333
Stephen A. Douglas Tomb,-87.6083333333333,41.8316666666667
Joseph Downey House and Coach House,-87.6552777777778,41.9948611111111
Drake Fountain,-87.5527777777778,41.7280555555556
DuPont-Whitehouse House,-87.6863888888889,41.8286111111111
DuSable High School,-87.625,41.8047222222222
