No.,Name,Population,Area[9],Area[9],Density,Density
,,(2018)[10],(sq mi.),(km2),(/sq mi.),(/km2)
01,Rogers Park,"54872",1.84,4.77,"29,821.74","11,514.17"
02,West Ridge,"77212",3.53,9.14,"21,873.09","8,445.2"
03,Uptown,"58424",2.32,6.01,"25,182.76","9,723.06"
04,Lincoln Square,"41713",2.56,6.63,"16,294.14","6,291.17"
05,North Center,"35705",2.05,5.31,"17,417.07","6,724.73"
06,Lake View,"100547",3.12,8.08,"32,226.6","12,442.69"
07,Lincoln Park,"68697",3.16,8.18,"21,739.56","8,393.64"
08,Near North Side,"89995",2.74,7.1,"32,844.89","12,681.41"
09,Edison Park,"11567",1.13,2.93,"10,236.28","3,952.23"
10,Norwood Park,"37312",4.37,11.32,"8,538.22","3,296.6"
11,Jefferson Park,"27989",2.33,6.03,"12,012.45","4,638.01"
12,Forest Glen,"19113",3.2,8.29,"5,972.81","2,306.1"
13,North Park,"18451",2.52,6.53,"7,321.83","2,826.96"
14,Albany Park,"50343",1.92,4.97,"26,220.31","10,123.66"
15,Portage Park,"64954",3.95,10.23,"16,444.05","6,349.05"
16,Irving Park,"53665",3.21,8.31,"16,718.07","6,454.85"
17,Dunning,"44035",3.72,9.63,"11,837.37","4,570.41"
18,Montclare,"13864",0.99,2.56,"14,004.04","5,406.96"
19,Belmont Cragin,"80648",3.91,10.13,"20,626.09","7,963.73"
20,Hermosa,"23489",1.17,3.03,"20,076.07","7,751.37"
21,Avondale,"37909",1.98,5.13,"19,145.96","7,392.26"
22,Logan Square,"72724",3.59,9.3,"20,257.38","7,821.38"
23,Humboldt Park,"56162",3.6,9.32,"15,600.56","6,023.37"
24,West Town,"84255",4.58,11.86,"18,396.29","7,102.81"
25,Austin,"94762",7.15,18.52,"13,253.43","5,117.15"
26,West Garfield Park,"16950",1.28,3.32,"13,242.19","5,112.81"
27,East Garfield Park,"19731",1.93,5,"10,223.32","3,947.22"
28,Near West Side,"62733",5.69,14.74,"11,025.13","4,256.8"
29,North Lawndale,"33854",3.21,8.31,"10,546.42","4,071.97"
30,South Lawndale,"74943",4.59,11.89,"16,327.45","6,304.03"
31,Lower West Side,"32789",2.93,7.59,"11,190.78","4,320.76"
32,(The)  Loop[11],"37647",1.65,4.27,"22,816.36","8,809.4"
33,Near South Side,"24343",1.78,4.61,"13,675.84","5,280.24"
34,Armour Square,"13455",1,2.59,"13,455","5,194.98"
35,Douglas,"21268",1.65,4.27,"12,889.7","4,976.71"
36,Oakland,"6850",0.58,1.5,"11,810.34","4,559.97"
37,Fuller Park,"2399",0.71,1.84,"3,378.87","1,304.58"
38,Grand Boulevard,"22784",1.74,4.51,"13,094.25","5,055.69"
39,Kenwood,"17440",1.04,2.69,"16,769.23","6,474.6"
40,Washington Park,"11502",1.52,3.94,"7,567.11","2,921.66"
41,Hyde Park,"27517",1.61,4.17,"17,091.3","6,598.95"
42,Woodlawn,"22925",2.07,5.36,"11,074.88","4,276.01"
43,South Shore,"51543",2.93,7.59,"17,591.47","6,792.07"
44,Chatham,"30700",2.95,7.64,"10,406.78","4,018.06"
45,Avalon Park,"9738",1.25,3.24,"7,790.4","3,007.87"
46,South Chicago,"29021",3.34,8.65,"8,688.92","3,354.79"
47,Burnside,"2336",0.61,1.58,"3,829.51","1,478.57"
48,Calumet Heights,"12956",1.75,4.53,"7,403.43","2,858.46"
49,Roseland,"41106",4.82,12.48,"8,528.22","3,292.74"
50,Pullman,"6816",2.12,5.49,"3,215.09","1,241.35"
51,South Deering,"14614",10.9,28.23,"1,340.73",517.66
52,East Side,"24194",2.98,7.72,"8,118.79","3,134.67"
53,West Pullman,"27480",3.56,9.22,"7,719.1","2,980.34"
54,Riverdale,"7262",3.53,9.14,"2,057.22",794.29
55,Hegewisch,"9241",5.24,13.57,"1,763.55",680.91
56,Garfield Ridge,"36396",4.23,10.96,"8,604.26","3,322.1"
57,Archer Heights,"13779",2.01,5.21,"6,855.22","2,646.8"
58,Brighton Park,"45031",2.72,7.04,"16,555.51","6,392.08"
59,McKinley Park,"15920",1.41,3.65,"11,290.78","4,359.37"
60,Bridgeport,"33828",2.09,5.41,"16,185.65","6,249.28"
61,New City,"39463",4.83,12.51,"8,170.39","3,154.59"
62,West Elsdon,"19363",1.17,3.03,"16,549.57","6,389.79"
63,Gage Park,"39302",2.2,5.7,"17,864.55","6,897.5"
64,Clearing,"25735",2.55,6.6,"10,092.16","3,896.58"
65,West Lawn,"32176",2.95,7.64,"10,907.12","4,211.24"
66,Chicago Lawn,"52003",3.53,9.14,"14,731.73","5,687.92"
67,West Englewood,"28237",3.15,8.16,"8,964.13","3,461.05"
68,Englewood,"23792",3.07,7.95,"7,749.84","2,992.21"
69,Greater Grand Crossing,"30805",3.55,9.19,"8,677.46","3,350.37"
70,Ashburn,"43986",4.86,12.59,"9,050.62","3,494.44"
71,Auburn Gresham,"45271",3.77,9.76,"12,008.22","4,636.37"
72,Beverly,"20437",3.18,8.24,"6,426.73","2,481.36"
73,Washington Heights,"27354",2.86,7.41,"9,564.34","3,692.79"
74,Mount Greenwood,"19342",2.71,7.02,"7,137.27","2,755.7"
75,Morgan Park,"21694",3.3,8.55,"6,573.94","2,538.2"
76,O'Hare,"12377",13.34,34.55,927.81,358.23
77,Edgewater,"57022",1.74,4.51,"32,771.26","12,652.99"
Total,Chicago[12],"2718555",227.34,588.81,"11,958.1","4,617.02"
